open,high,low,close
50250.68365749268,50506.10257453654,50291.475552653166,50352.81046919353
50478.81497007265,50604.0389272764,50248.47191321922,50432.84191086698
50622.856006227375,50633.2030135837,50601.480409466545,50628.58950768813
51083.63933271382,51172.605595551075,50963.123384823266,51076.76814752842
51382.003399320434,51458.36090685278,51276.44655874094,51450.27974555841
51267.90608695198,51325.21007318218,51184.11069515104,51254.82416958313
51509.15389862939,51521.92028315891,51441.80323994176,51444.84185308825
51497.30328591579,51462.654945515984,51338.070213690255,51414.57041142871
51392.065004076445,51464.28519653433,51307.16011926868,51393.92664106999
51412.531276418755,51568.96085623454,51250.421329676625,51476.046341457666
51512.01888627125,51541.97231095475,51460.49478172924,51504.85505568985
51755.94699635248,51894.69201203715,51728.70742902249,51795.70975708244
51951.520925889905,52012.28042965718,51932.70088311127,51947.91730211184
52009.37350569465,52041.14197207119,51778.19896569343,51972.2523054104
51999.74225478378,52088.489672320735,51951.97408521132,52061.02495195949
52238.02922277875,52188.121861036256,52027.56774708158,52127.759817434344
52453.10751322471,52497.46158960258,52408.886387460625,52426.57563206586
52377.13326043958,52427.825836780365,52276.74252517104,52385.5439793127
52496.59982675908,52759.843178802796,52422.835782937334,52448.15751964288
52261.85567062059,52341.78357512365,52167.51106600996,52277.33837178254
51719.73501517792,51958.11467570188,51582.78373001893,51766.740408615726
51905.63364495996,51963.820285362934,51876.32126634957,51897.464127703795
52086.39548305555,52085.75860731818,52047.38504314662,52070.3513674757
51942.08990271696,52041.27953146932,51903.2204219475,51921.918363394405
52409.072624194734,52385.68540931252,52325.491341575136,52375.86928819193
52090.81052595028,52173.65757927779,51893.96190311338,52084.99615327218
52114.96808103418,52108.88322319075,52038.769737289804,52094.14785673247
52067.242314454845,52162.69171622068,51997.96293999455,52056.7110867273
52232.67692838398,52365.89159138515,52237.4719353044,52363.26692959899
52697.993489367815,52668.57219956628,52571.27184376925,52657.13868357905
52676.643495997276,52762.48352026926,52644.509459184264,52688.12816871843
52756.996353431874,52784.79660930185,52606.6143675079,52763.76067263887
52485.438049698845,52586.79626369617,52478.47203497608,52586.20352311285
52239.22396903552,52326.65023630839,52108.93526180261,52190.04422946806
52122.45379360043,52275.97320280873,51897.308035730646,52120.461799602825
52187.23087355746,52213.0642160565,52141.631341693086,52151.731593423625
52385.194549783955,52426.38564471768,52339.052222914244,52397.789729569166
52587.763146616795,52787.95679867813,52505.77887217818,52638.26569932605
52598.15007288888,52679.112291577636,52476.73548803065,52560.80033584446
52511.69678396206,52572.22950228222,52474.229167573096,52500.33978572939
52248.50582922507,52412.23685079056,52211.185027885855,52290.62919271598
52006.767871978635,52020.69279561097,51941.663956628974,52006.62560528018
51662.505603783866,51739.73878462526,51601.943116116825,51665.371567155176
52095.084385138114,52071.42787135697,52046.026379954055,52055.526646201535
51878.020836472075,51977.60190278087,51785.27552914972,51953.5962098512
51887.44154526662,51875.997290338026,51831.57673572947,51865.98134952896
51629.496783949704,51662.93978810191,51544.706474455656,51615.422277518985
51785.85287405552,51898.215723577356,51651.5788901713,51770.920348685366
51399.572634968536,51617.753905856924,51395.401926417275,51448.14077917377
51347.296015867774,51478.611076243935,51304.922330738744,51405.592723130976
51235.72469695386,51412.2477380517,51053.26667768392,51226.49941089225
51303.55065123314,51342.13972413645,51266.53869417907,51303.8799104641
51176.39146867328,51290.40931557871,51187.4678432423,51201.71888295032
50955.80330659226,51053.42282189909,50932.61820964959,50965.59244612584
50920.695201584545,50968.60125285887,50951.051788508456,50959.95600045811
50990.65983345953,51070.393012410874,50987.88274969032,51045.62237456419
51090.8337584619,51160.75375159751,50985.309271116326,51058.92581904083
51130.7107528548,51184.87721208854,51020.299643741535,51119.420198588785
50995.150323502305,51013.27751919369,50980.038318682964,50992.55577985259
50944.55934066632,50978.3645393461,50912.69227533782,50920.007546655164
50897.814958102164,51078.42508127636,50771.12173366202,50785.51545709997
50753.53036832395,50735.890657102216,50618.83239301936,50713.604824791866
50591.44525414844,50648.57932091987,50411.05257591444,50550.97556838297
50193.69748104733,50361.412441167566,50183.10667528118,50205.71904791664
50219.31948741397,50374.19346250079,50097.31885988271,50241.20427636739
50145.73991774441,50196.39756658658,50080.71798729603,50160.848089125735
49820.967818472214,49954.551189296384,49834.47527513916,49834.80841973253
49972.98042325373,50076.004796184316,49917.67071507194,49927.36487083768
49819.08738421533,49786.92706723906,49736.31805295593,49745.90519796103
49716.23877746616,49894.512465959575,49716.75058072723,49756.29427712026
49975.9922350764,50050.79063696433,49896.788085342974,49902.11238955577
49829.894660561375,49932.186943695604,49850.5590134578,49927.90897170725
50141.18919056705,50205.96908399667,50013.87055782654,50155.78910861591
49903.07880040096,49914.433891879264,49878.478751285715,49908.823944545176
49969.82751338826,50043.13597281614,49837.47160226174,49989.29227278069
49875.422766626005,49900.664439770684,49740.35948206774,49852.33025459263
49642.06977661563,49690.535787345456,49582.78472858083,49678.17082475625
49569.069692258694,49612.89788994965,49477.43948960678,49562.400891803365
49541.987643964,49672.46001294462,49401.90041607316,49500.090385377895
49489.11925549455,49582.62507679493,49375.01568700827,49511.32345382384
49142.11481110543,49310.873447031234,49201.03362970092,49278.29348566717
49514.250039199964,49470.935735162326,49430.09623783235,49458.458783058006
49562.978993504796,49652.85858338096,49318.83086673399,49551.5912710041
49177.75688448584,49347.072221456205,48999.819784670784,49244.342533748655
49566.600263554385,49574.3286256558,49470.406479775425,49541.992972507775
49853.21850401381,50058.10992011861,49832.831123468284,49921.17080771389
50102.68808896933,50233.55948184218,50026.882736285814,50156.92672194582
50120.16095373235,50249.09288881977,50113.30784637549,50120.94175478335
49915.462643002014,50098.214200187525,49763.73554892324,49906.79123048124
50070.66737384063,50284.277183547245,49985.340717545085,50117.68157586747
50075.91939919469,50199.711142702996,49993.21056985616,50037.046186472835
50243.49037593106,50302.67902963387,50207.219952430445,50281.53520054932
50253.102565550435,50324.69070486783,50233.993437964906,50323.190196164694
50456.93533681391,50529.859166525704,50472.13072693858,50518.51800346143
50539.73337683467,50697.845695598866,50528.02519822284,50589.791282896316
50780.00849513803,50891.87357443902,50481.46421025872,50731.1059165347
50699.30811971943,50778.822281814384,50570.258398397964,50733.20592067887
51093.85322303202,51184.867039198834,51080.47554929099,51090.38001946003
51168.63048965828,51172.84129093892,51095.56324247495,51115.76243800076
51203.166358404604,51350.43994451901,51051.27772182273,51196.1603106897
51644.46521129621,51572.83218274222,51401.3739813577,51572.790450100954
51312.19269868253,51340.65414646954,51298.27448079467,51303.23863787246
51055.29376995605,51090.09681599908,50919.20209183706,51049.141638175315
51216.11121083216,51322.98032977397,51180.48543686865,51243.02097980692
50955.122394129925,51159.56023377252,50929.224370011805,51008.396298784086
51467.186544323566,51567.76736064004,51338.826196463444,51397.12053591394
51380.7769262856,51384.5750769737,51159.12868565608,51314.39673976199
51267.22157186626,51172.23432067461,50953.890425051955,51164.90577747385
51507.56750210033,51595.68356430535,51473.611227867616,51549.49418276992
51879.94369372468,51908.24616337171,51774.60411694984,51845.5971410568
52247.20959292162,52390.192591396786,52203.9942299275,52219.10893314212
52402.53228032251,52541.759369070096,52268.00873399908,52400.317864797194
